place_name,lat,long
Julius-Raab-Platz,48.211544,16.382374
Hoher Markt,48.210666,16.372983
Oper,48.202683,16.369702
Volksgarten,48.206516,16.3604
Stephansplatz U,48.207836,16.372111
Taborstraße U,48.219522,16.382218
WU-Campus / Südportalstraße ,48.212856,16.407665
Radetzkyplatz,48.210682,16.390221
Bahngasse / mdw-University of Music and Performing Arts,48.201628,16.384459
Erdberg U,48.190465,16.415318
Media Quarter Marx,48.188763,16.404503
Rennweg S,48.194261,16.386578
Rochusmarkt,48.203416,16.389789
Schwarzenbergplatz,48.198852,16.376962
Heumühlgasse,48.195304,16.363308
Margaretengürtel U,48.188489,16.343992
Mittersteig,48.189735,16.361331
Ceija-Stojka-Platz,48.207702,16.342199
Volkstheater U,48.205994,16.356442
Zieglergasse U,48.196724,16.343985
Berggasse,48.219182,16.366349
Frankhplatz,48.215164,16.355172
Friedensbrücke U,48.226825,16.365311
Spittelau S U,48.235289,16.35875
Alfred-Böhm-Park,48.167276,16.386339
Altes Landgut U,48.160985,16.383653
Bloch-Bauer-Promenade,48.179521,16.385926
Hauptbahnhof S U ,48.186287,16.375631
Keplerplatz U,48.179192,16.375793
Absberggasse,48.172123,16.389296
Enkplatz U,48.17625,16.41326
Gasometer U,48.185253,16.417358
Geiselbergstraße S,48.174951,16.406785
Simmering S U,48.169601,16.420754
Niederhofstraße U,48.180233,16.330812
Hietzing U,48.187845,16.302445
Westbahnhof S U,48.19681,16.338577
Richard-Wagner-Platz,48.210054,16.328049
Alser Straße U,48.216588,16.3416
Währinger Straße U,48.225482,16.349795
Gymnasiumstraße,48.236591,16.348719
Handelskai S U,48.24201,16.384797
Wallensteinplatz,48.229911,16.371579
Brünner Straße S,48.267376,16.403725
Floridsdorf S U,48.255621,16.400137
Großfeldsiedlung U,48.271948,16.447562
Siemensstraße S,48.27113,16.42081
Aspernstraße U,48.223008,16.475255
Donauspital U,48.219878,16.464588
Erzherzog-Karl-Straße S,48.229619,16.45357
Hausfeldstraße S U,48.233624,16.486825
Kagran U,48.243746,16.433508
Maria-Tusch-Straße,48.224719,16.498557
Rennbahnweg U,48.257535,16.44959
Schüttauplatz,48.225856,16.423761
Stadlau U,48.21978,16.44922
VIC Kaisermühlen U,48.232362,16.415692
Kagraner Platz U,48.251071,16.443794
Alterlaa U,48.150204,16.317214
Bacherplatz,48.188009,16.355089
Carl-Appel-Straße,48.169012,16.343611
Otto-Probst-Platz,48.154212,16.348729
Alaudagasse U,48.15271,16.38247
Svetelskystraße,48.15403,16.46573
Weißenböckstraße,48.162067,16.42849
Zentralfriedhof 2. Tor,48.154665,16.442269
Simoningplatz,48.179097,16.420704
Etrichstraße / Hauptwerkstätte,48.14826,16.462393
Zippererstraße U,48.17915,16.411219
Hetzendorf S,48.167527,16.316119
Gatterhölzl,48.175409,16.320534
Speising S,48.17377,16.282425
Hasnerstraße / Hofferplatz,48.208195,16.332566
Nietzscheplatz,48.220453,16.306123
Wattgasse,48.217837,16.319961
Grinzing,48.255793,16.342947
Oberdöbling S,48.244386,16.344711
Kantnergasse,48.277738,16.410474
Leopoldau S U,48.276824,16.45017
Josef-Baumann-Gasse,48.25227,16.430805
Fultonstraße,48.252916,16.413875
Hopfengasse,48.269651,16.392036
Jedlesee / Bellgasse,48.262127,16.387658
Jedleseer Friedhof,48.270076,16.384403
Strebersdorf / Edmund-Hawranek-Platz,48.291474,16.386194
Kagraner Anger,48.239166,16.448733
Stavangergasse,48.213317,16.474986
Hans-Steger-Gasse,48.224465,16.456828
Hirschstetten S,48.232992,16.470367
Atzgersdorf S,48.146654,16.287907
Siebenhirten U,48.129845,16.310018
Erlaaer Straße U,48.142919,16.316576
Perfektastraße U,48.136491,16.313367
Praterstern Ausstellungsstraße,48.21785,16.395483
Muthgasse,48.252055,16.369822
Liesing S,48.134253,16.283428
Aspern Nord S U,48.235615,16.503965
Seepark,48.226593,16.504396
Seestadt U,48.224865,16.507619
Schwedenplatz,48.211721,16.376628
Waldmüllerpark,48.18136,16.367618
Stubentor U,48.206812,16.380441
Landstraße - Wien Mitte S U,48.205847,16.385246
Praterstern S U,48.218454,16.390281
Rustengasse,48.190832,16.326461
Heiligenstadt S U,48.248272,16.36813
Breitensee S,48.198242,16.306901
Hütteldorf  S U,48.198076,16.261813
Rathaus U,48.211441,16.356586
Hans-Mandl-Berufsschule,48.181161,16.338769
Dänenstraße / BOKU,48.23737,16.33448
Schloss Schönbrunn,48.187201,16.312659
Eslarngasse / Juchgasse,48.196678,16.395204
Plößlgasse,48.194578,16.377147
Sankt-Elisabeth-Platz,48.190903,16.375826
Rossauer Lände U,48.222729,16.367425
Lazarettgasse,48.219312,16.352461
Edelsinnstraße,48.170578,16.310926
Karlsplatz U / TU Wien,48.199877,16.368227
Amerlingstraße,48.197306,16.350981
Albertgasse,48.210475,16.343998
Universitätsring,48.21192,16.360781
Herrengasse U,48.209724,16.366685
Sensengasse,48.220335,16.35638
Belgradplatz,48.174228,16.361368
Rathausplatz / Burgtheater,48.209923,16.360245
Arbeitergasse - Gürtel,48.18392,16.345801
Bauernfeldplatz / Palais Lichtenstein,48.221085,16.360193
Johannesgasse / Stadtpark,48.203384,16.376708
Bischof-Faber-Platz,48.233868,16.325099
Am Schöpfwerk U,48.160951,16.324922
Alserbachstraße,48.225138,16.354893
Petrusgasse,48.192988,16.398459
Wassergasse,48.199234,16.394335
Löwengasse,48.2057,16.395998
Kardinal-Nagl-Platz U,48.197069,16.400874
Kärntner Ring,48.202161,16.3713
Schottenring U,48.215972,16.372194
Strozzigasse,48.207744,16.349122
Yppengasse,48.214561,16.335624
Stefan-Fadinger-Platz,48.168439,16.354862
Brünnlbadgasse,48.215262,16.346523
Obere Augartenstraße,48.223,16.374752
Gußhausstraße / Argentinierstraße,48.197287,16.371572
Marschallplatz,48.165635,16.303146
Ober St. Veit U,48.192296,16.274813
Auf der Schmelz,48.203673,16.316414
Grimmgasse,48.186805,16.327679
Parhamerplatz,48.216137,16.328093
Kendlerstraße U,48.205571,16.30959
Dornerplatz,48.221223,16.33459
Hernals S,48.22321,16.315256
Schmelzbrücke,48.19623,16.330241
Michelbeuern-AKH U,48.221804,16.343735
Johann-Nepomuk-Vogl-Platz,48.223756,16.337543
Mayerhofgasse,48.192488,16.367014
Westbahnstraße / Schottenfeldgasse,48.201942,16.343241
Vorgartenstraße U,48.223192,16.399795
Krieau U,48.214384,16.414663
Ottakring S U,48.211841,16.311806
Hartmanngasse ,48.187123,16.363965
Messe-Prater U,48.217295,16.406163
Loquaiplatz,48.194597,16.349121
Rosensteingasse,48.21955,16.326586
Gumpendorfer Gürtel,48.18934,16.338321
Burggasse-Stadthalle U,48.203657,16.337419
Urban-Loritz-Platz,48.201034,16.337727
Hanusch Krankenhaus,48.19853,16.29393
Westbahnhof S U / Gerstnerstraße,48.195315,16.337344
Wieningerplatz,48.194063,16.31846
Markgraf-Rüdiger Straße,48.202473,16.329897
Plunkergasse,48.199892,16.327151
Selzergasse,48.196802,16.323095
Westbahnhof S U / Felberstraße,48.197958,16.3377
Kundratstraße,48.176146,16.355224
Arthaberplatz,48.173447,16.371831
Karmeliterplatz,48.215683,16.379649
Fröbelgasse,48.205827,16.330869
Reumannplatz U,48.172937,16.378663
Brestelgasse,48.214001,16.330753
Thaliastraße U,48.207995,16.337984
Nussdorfer Straße U,48.231717,16.353124
Elterleinplatz,48.217936,16.332271
Canisiusgasse,48.229011,16.354359
Meidling S U / Schedifkaplatz,48.172862,16.332105
Palffygasse,48.217217,16.337131
Gersthof S,48.231029,16.329505
Reinprechtsdorfer Brücke,48.189633,16.351143
