station,degree_centrality,lat,lon,trips_started,trips_ended,trips
AIT Austrian Institute of Technology / Giefinggasse ,0.05138339920948616,48.268033,16.426886,17,20,37
Bahngasse / mdw-University of Music and Performing Arts,0.3636363636363636,48.201628,16.384459,89,109,198
Floridsdorf S U,0.3162055335968379,48.255621,16.400137,142,138,280
Handelskai S U,0.4861660079051383,48.24201,16.384797,169,184,353
Josef-Baumann-Gasse,0.09881422924901186,48.25227,16.430805,26,32,58
Kagran U,0.2845849802371541,48.243746,16.433508,107,87,194
Kagraner Platz U,0.2292490118577075,48.251071,16.443794,106,104,210
Absbergbrücke / Alfred-Böhm-Park,0.09486166007905138,48.167276,16.386339,33,33,66
Altes Landgut U,0.1660079051383399,48.160985,16.383653,50,40,90
Bloch-Bauer-Promenade,0.30039525691699603,48.179521,16.385926,88,89,177
Enkplatz U,0.11462450592885375,48.17625,16.41326,35,28,63
Hauptbahnhof Ost,0.450592885375494,48.183836,16.379774,126,132,258
Herrengasse U,0.5533596837944663,48.209724,16.366685,218,216,434
Karlsplatz U / TU Wien,0.8695652173913043,48.199877,16.368227,354,360,714
Keplerplatz U,0.3359683794466403,48.179192,16.375793,95,110,205
Loquaiplatz,0.2924901185770751,48.194597,16.349121,65,62,127
Mittersteig,0.48221343873517786,48.189735,16.361331,122,131,253
Otto-Probst-Platz,0.09486166007905138,48.154212,16.348729,20,23,43
Reinprechtsdorfer Brücke,0.43478260869565216,48.189633,16.351143,113,129,242
Rennweg S,0.49407114624505927,48.194261,16.386578,144,148,292
Schwarzenbergplatz,0.5177865612648221,48.198852,16.376962,168,165,333
Siebenbrunnenplatz,0.5454545454545454,48.184975,16.352986,137,155,292
Stefan-Fadinger-Platz,0.14624505928853754,48.168439,16.354862,34,21,55
WU-Campus / Südportalstraße ,0.6126482213438734,48.212856,16.407665,355,379,734
Absberggasse,0.20553359683794464,48.172123,16.389296,63,54,117
Belgradplatz,0.13833992094861658,48.174228,16.361368,30,31,61
Erdberg U,0.308300395256917,48.190465,16.415318,83,67,150
Gasometer U,0.2845849802371541,48.185253,16.417358,95,102,197
Geiselbergstraße S,0.17391304347826086,48.174951,16.406785,42,33,75
Gußhausstraße / Argentinierstraße,0.5098814229249011,48.197287,16.371572,164,167,331
Hartmanngasse ,0.3162055335968379,48.187123,16.363965,85,80,165
Hauptbahnhof S U ,0.8458498023715414,48.186287,16.375631,418,389,807
Johannesgasse / Stadtpark,0.5810276679841897,48.203384,16.376708,179,182,361
Kardinal-Nagl-Platz U,0.49407114624505927,48.197069,16.400874,214,207,421
Kundratstraße,0.14624505928853754,48.176146,16.355224,27,25,52
Margaretengürtel U,0.4980237154150197,48.188489,16.343992,127,128,255
Mayerhofgasse,0.3517786561264822,48.192488,16.367014,75,74,149
Media Quarter Marx,0.4743083003952569,48.188763,16.404503,172,181,353
Museumsquartier U,0.8656126482213438,48.202344,16.361117,362,382,744
Neubaugasse U,0.8142292490118577,48.198527,16.35093,309,315,624
Pilgramgasse U,0.4229249011857707,48.192945,16.354936,125,124,249
Rathausplatz / Burgtheater,0.27667984189723316,48.209923,16.360245,76,66,142
Reumannplatz U,0.2727272727272727,48.172937,16.378663,76,72,148
Sankt-Elisabeth-Platz,0.48221343873517786,48.190903,16.375826,128,124,252
Stubentor U,0.7667984189723319,48.206812,16.380441,274,308,582
Westbahnstraße / Schottenfeldgasse,0.48221343873517786,48.201942,16.343241,116,122,238
Adelheid-Popp-Gasse,0.09881422924901186,48.230723,16.46149,29,29,58
Alte Donau U,0.23320158102766797,48.237534,16.423788,87,82,169
ArbeiterInnenstrand,0.14229249011857706,48.242946,16.414669,39,41,80
Aspernstraße U,0.13833992094861658,48.223008,16.475255,72,49,121
Bertha-von-Suttner-Gasse,0.07905138339920947,48.251355,16.45281,48,49,97
Erzherzog-Karl-Straße S,0.14624505928853754,48.229619,16.45357,38,36,74
Gewerbepark Stadlau,0.06719367588932806,48.245575,16.462515,15,24,39
Hirschstetten S,0.06324110671936758,48.232992,16.470367,20,16,36
Kagraner Anger,0.09486166007905138,48.239166,16.448733,26,22,48
Schottenring U /Herminengasse,0.3557312252964427,48.217784,16.373083,71,71,142
Sonnenallee,0.07905138339920947,48.224888,16.502422,22,29,51
Stadlau U,0.17786561264822134,48.21978,16.44922,66,39,105
VIC Kaisermühlen U,0.5296442687747035,48.232362,16.415692,207,203,410
Alaudagasse U,0.04743083003952569,48.15271,16.38247,14,12,26
