station,lat,lon,dep_morning,dep_midday,dep_evening,dep_night,arr_morning,arr_midday,arr_evening,arr_night,status_morning,status_midday,status_evening,status_night
AIT Austrian Institute of Technology / Giefinggasse ,48.268033,16.426886,0.0,6.0,10.0,1.0,15.0,0.0,0.0,5.0,more_arrivals,more_departures,more_departures,more_arrivals
Absbergbrücke / Alfred-Böhm-Park,48.167276,16.386339,6.0,5.0,17.0,5.0,0.0,3.0,6.0,24.0,more_departures,more_departures,more_departures,more_arrivals
Absberggasse,48.172123,16.389296,3.0,20.0,26.0,14.0,4.0,17.0,14.0,19.0,more_arrivals,more_departures,more_departures,more_arrivals
Adelheid-Popp-Gasse,48.230723,16.46149,12.0,8.0,3.0,6.0,2.0,1.0,20.0,6.0,more_departures,more_departures,more_arrivals,equal
Alaudagasse U,48.15271,16.38247,1.0,4.0,9.0,0.0,0.0,4.0,6.0,2.0,more_departures,equal,more_departures,more_arrivals
Albertgasse,48.210475,16.343998,23.0,38.0,49.0,28.0,17.0,23.0,45.0,33.0,more_departures,more_departures,more_departures,more_arrivals
Alser Straße U,48.216588,16.3416,19.0,24.0,39.0,48.0,17.0,22.0,44.0,53.0,more_departures,more_departures,more_arrivals,more_arrivals
Alserbachstraße,48.225138,16.354893,13.0,19.0,26.0,19.0,3.0,16.0,36.0,26.0,more_departures,more_departures,more_arrivals,more_arrivals
Alte Donau U,48.237534,16.423788,13.0,29.0,36.0,9.0,11.0,24.0,27.0,20.0,more_departures,more_departures,more_departures,more_arrivals
Alterlaa U,48.150204,16.317214,1.0,0.0,6.0,7.0,0.0,10.0,8.0,5.0,more_departures,more_arrivals,more_arrivals,more_departures
Altes Landgut U,48.160985,16.383653,3.0,14.0,16.0,17.0,16.0,3.0,9.0,12.0,more_arrivals,more_departures,more_departures,more_departures
Althanstraße,48.228936,16.3596,3.0,2.0,10.0,7.0,3.0,2.0,13.0,9.0,equal,equal,more_arrivals,more_arrivals
Am Langen Felde,48.250336,16.450206,5.0,6.0,12.0,1.0,5.0,2.0,13.0,2.0,equal,more_departures,more_arrivals,more_arrivals
Am Schöpfwerk U,48.160951,16.324922,1.0,5.0,10.0,4.0,0.0,12.0,5.0,3.0,more_departures,more_arrivals,more_departures,more_departures
Amerlingstraße,48.197306,16.350981,13.0,20.0,5.0,15.0,8.0,11.0,15.0,19.0,more_departures,more_departures,more_arrivals,more_arrivals
