station,lat,lon,dep_count,arr_count,activity_type
AIT Austrian Institute of Technology / Giefinggasse ,48.268033,16.426886,17.0,20.0,more_arrivals
Absbergbrücke / Alfred-Böhm-Park,48.167276,16.386339,33.0,33.0,equal
Absberggasse,48.172123,16.389296,63.0,54.0,more_departures
Adelheid-Popp-Gasse,48.230723,16.46149,29.0,29.0,equal
Alaudagasse U,48.15271,16.38247,14.0,12.0,more_departures
Albertgasse,48.210475,16.343998,138.0,118.0,more_departures
Alser Straße U,48.216588,16.3416,130.0,136.0,more_arrivals
Alserbachstraße,48.225138,16.354893,77.0,81.0,more_arrivals
Alte Donau U,48.237534,16.423788,87.0,82.0,more_departures
Alterlaa U,48.150204,16.317214,14.0,23.0,more_arrivals
Altes Landgut U,48.160985,16.383653,50.0,40.0,more_departures
Althanstraße,48.228936,16.3596,22.0,27.0,more_arrivals
Am Langen Felde,48.250336,16.450206,24.0,22.0,more_departures
Am Schöpfwerk U,48.160951,16.324922,20.0,20.0,equal
Amerlingstraße,48.197306,16.350981,53.0,53.0,equal
ArbeiterInnenstrand,48.242946,16.414669,39.0,41.0,more_arrivals
Arbeitergasse - Gürtel,48.18392,16.345801,55.0,49.0,more_departures
Arthaberplatz,48.173447,16.371831,69.0,76.0,more_arrivals
Aspern Nord S U,48.235615,16.503965,4.0,5.0,more_arrivals
Aspernstraße U,48.223008,16.475255,72.0,49.0,more_departures
Atzgersdorf Bildungscampus,48.153174,16.301623,2.0,4.0,more_arrivals
Atzgersdorf S,48.146654,16.287907,1.0,1.0,equal
Auf der Schmelz,48.203673,16.316414,79.0,62.0,more_departures
Aumannplatz,48.228561,16.335125,47.0,39.0,more_departures
Bacherplatz,48.188009,16.355089,46.0,51.0,more_arrivals
Bahngasse / mdw-University of Music and Performing Arts,48.201628,16.384459,89.0,109.0,more_arrivals
Barbara-Prammer-Allee,48.229561,16.510147,34.0,34.0,equal
Bauernfeldplatz / Palais Lichtenstein,48.221085,16.360193,101.0,112.0,more_arrivals
Belgradplatz,48.174228,16.361368,30.0,31.0,more_arrivals
Berggasse,48.219182,16.366349,212.0,249.0,more_arrivals
Bertha-von-Suttner-Gasse,48.251355,16.45281,48.0,49.0,more_arrivals
Bischof-Faber-Platz,48.233868,16.325099,7.0,10.0,more_arrivals
Bloch-Bauer-Promenade,48.179521,16.385926,88.0,89.0,more_arrivals
Blériotgasse,48.171395,16.42565,19.0,18.0,more_departures
Breitensee S,48.198242,16.306901,89.0,76.0,more_departures
Brestelgasse,48.214001,16.330753,66.0,71.0,more_arrivals
