,station,degree_centrality,lat,lon,trips_started,trips_ended,trips,connections_total,connections_out,connections_in
0,AIT Austrian Institute of Technology / Giefinggasse ,0.0513833992094861,48.268033,16.426886,17,20,37,13,6,7
1,Bahngasse / mdw-University of Music and Performing Arts,0.3636363636363636,48.201628,16.384459,89,109,198,92,40,52
2,Floridsdorf S U,0.3162055335968379,48.255621,16.400137,142,138,280,80,38,42
3,Handelskai S U,0.4861660079051383,48.24201,16.384797,169,184,353,123,58,65
4,Josef-Baumann-Gasse,0.0988142292490118,48.25227,16.430805,26,32,58,25,11,14
5,Kagran U,0.2845849802371541,48.243746,16.433508,107,87,194,72,39,33
6,Kagraner Platz U,0.2292490118577075,48.251071,16.443794,106,104,210,58,26,32
7,Absbergbrücke / Alfred-Böhm-Park,0.0948616600790513,48.167276,16.386339,33,33,66,24,16,8
8,Altes Landgut U,0.1660079051383399,48.160985,16.383653,50,40,90,42,28,14
9,Bloch-Bauer-Promenade,0.300395256916996,48.179521,16.385926,88,89,177,76,37,39
10,Enkplatz U,0.1146245059288537,48.17625,16.41326,35,28,63,29,12,17
11,Hauptbahnhof Ost,0.450592885375494,48.183836,16.379774,126,132,258,114,62,52
12,Herrengasse U,0.5533596837944663,48.209724,16.366685,218,216,434,140,66,74
13,Karlsplatz U / TU Wien,0.8695652173913043,48.199877,16.368227,354,360,714,220,104,116
14,Keplerplatz U,0.3359683794466403,48.179192,16.375793,95,110,205,85,43,42
15,Loquaiplatz,0.2924901185770751,48.194597,16.349121,65,62,127,74,40,34
16,Mittersteig,0.4822134387351778,48.189735,16.361331,122,131,253,122,61,61
17,Otto-Probst-Platz,0.0948616600790513,48.154212,16.348729,20,23,43,24,11,13
18,Reinprechtsdorfer Brücke,0.4347826086956521,48.189633,16.351143,113,129,242,110,54,56
19,Rennweg S,0.4940711462450592,48.194261,16.386578,144,148,292,125,59,66
20,Schwarzenbergplatz,0.5177865612648221,48.198852,16.376962,168,165,333,131,60,71
21,Siebenbrunnenplatz,0.5454545454545454,48.184975,16.352986,137,155,292,138,61,77
22,Stefan-Fadinger-Platz,0.1462450592885375,48.168439,16.354862,34,21,55,37,24,13
23,WU-Campus / Südportalstraße ,0.6126482213438734,48.212856,16.407665,355,379,734,155,79,76
24,Absberggasse,0.2055335968379446,48.172123,16.389296,63,54,117,52,31,21
25,Belgradplatz,0.1383399209486165,48.174228,16.361368,30,31,61,35,19,16
26,Erdberg U,0.308300395256917,48.190465,16.415318,83,67,150,78,42,36
27,Gasometer U,0.2845849802371541,48.185253,16.417358,95,102,197,72,33,39
28,Geiselbergstraße S,0.1739130434782608,48.174951,16.406785,42,33,75,44,20,24
29,Gußhausstraße / Argentinierstraße,0.5098814229249011,48.197287,16.371572,164,167,331,129,58,71
30,Hartmanngasse ,0.3162055335968379,48.187123,16.363965,85,80,165,80,39,41
31,Hauptbahnhof S U ,0.8458498023715414,48.186287,16.375631,418,389,807,214,114,100
32,Johannesgasse / Stadtpark,0.5810276679841897,48.203384,16.376708,179,182,361,147,66,81
33,Kardinal-Nagl-Platz U,0.4940711462450592,48.197069,16.400874,214,207,421,125,61,64
34,Kundratstraße,0.1462450592885375,48.176146,16.355224,27,25,52,37,18,19
35,Margaretengürtel U,0.4980237154150197,48.188489,16.343992,127,128,255,126,65,61
36,Mayerhofgasse,0.3517786561264822,48.192488,16.367014,75,74,149,89,43,46
37,Media Quarter Marx,0.4743083003952569,48.188763,16.404503,172,181,353,120,57,63
38,Museumsquartier U,0.8656126482213438,48.202344,16.361117,362,382,744,219,105,114
39,Neubaugasse U,0.8142292490118577,48.198527,16.35093,309,315,624,206,105,101
40,Pilgramgasse U,0.4229249011857707,48.192945,16.354936,125,124,249,107,48,59
41,Rathausplatz / Burgtheater,0.2766798418972331,48.209923,16.360245,76,66,142,70,36,34
42,Reumannplatz U,0.2727272727272727,48.172937,16.378663,76,72,148,69,40,29
43,Sankt-Elisabeth-Platz,0.4822134387351778,48.190903,16.375826,128,124,252,122,57,65
44,Stubentor U,0.7667984189723319,48.206812,16.380441,274,308,582,194,93,101
45,Westbahnstraße / Schottenfeldgasse,0.4822134387351778,48.201942,16.343241,116,122,238,122,62,60
46,Adelheid-Popp-Gasse,0.0988142292490118,48.230723,16.46149,29,29,58,25,12,13
47,Alte Donau U,0.2332015810276679,48.237534,16.423788,87,82,169,59,31,28
48,ArbeiterInnenstrand,0.142292490118577,48.242946,16.414669,39,41,80,36,18,18
49,Aspernstraße U,0.1383399209486165,48.223008,16.475255,72,49,121,35,19,16
50,Bertha-von-Suttner-Gasse,0.0790513833992094,48.251355,16.45281,48,49,97,20,9,11
51,Erzherzog-Karl-Straße S,0.1462450592885375,48.229619,16.45357,38,36,74,37,18,19
52,Gewerbepark Stadlau,0.067193675889328,48.245575,16.462515,15,24,39,17,9,8
53,Hirschstetten S,0.0632411067193675,48.232992,16.470367,20,16,36,16,10,6
54,Kagraner Anger,0.0948616600790513,48.239166,16.448733,26,22,48,24,11,13
55,Schottenring U /Herminengasse,0.3557312252964427,48.217784,16.373083,71,71,142,90,42,48
